fecha,p_mensual,estacion
2014-11-01,182.0,areco
2015-11-01,177.0,areco
2016-11-01,103.0,areco
2017-11-01,41.0,areco
2018-11-01,184.0,areco
2019-11-01,63.0,areco
2020-11-01,38.25,areco
2021-11-01,79.25,areco
2022-11-01,13.5,areco
1982-12-01,45.0,areco
1983-12-01,99.0,areco
1984-12-01,80.0,areco
1985-12-01,95.0,areco
1986-12-01,0.0,areco
1987-12-01,93.0,areco
1988-12-01,38.0,areco
1989-12-01,139.0,areco
1990-12-01,94.0,areco
1991-12-01,202.0,areco
1992-12-01,58.0,areco
1993-12-01,161.0,areco
1994-12-01,88.0,areco
1995-12-01,42.0,areco
1996-12-01,155.0,areco
1997-12-01,180.0,areco
1998-12-01,132.0,areco
1999-12-01,48.0,areco
2000-12-01,66.0,areco
2001-12-01,117.0,areco
2002-12-01,166.0,areco
2003-12-01,136.0,areco
2004-12-01,244.0,areco
2005-12-01,29.0,areco
2006-12-01,187.0,areco
2007-12-01,27.0,areco
2008-12-01,20.0,areco
2009-12-01,296.0,areco
2010-12-01,49.0,areco
2011-12-01,20.0,areco
2012-12-01,198.0,areco
2013-12-01,89.0,areco
2014-12-01,124.0,areco
2015-12-01,63.0,areco
2016-12-01,144.0,areco
2017-12-01,52.0,areco
2018-12-01,189.0,areco
2019-12-01,34.0,areco
2020-12-01,43.25,areco
2021-12-01,4.25,areco
2022-12-01,82.25,areco
2012-11-01,65.75,las_armas
2013-01-01,0.0,las_armas
2013-02-01,0.0,las_armas
2013-03-01,0.0,las_armas
2013-04-01,17.75,las_armas
2013-05-01,45.0,las_armas
2013-06-01,13.5,las_armas
2013-07-01,13.5,las_armas
2013-08-01,7.25,las_armas
2013-09-01,157.75,las_armas
2013-10-01,109.25,las_armas
2013-11-01,91.0,las_armas
2013-12-01,41.75,las_armas
2014-01-01,201.25,las_armas
2014-02-01,128.5,las_armas
2014-03-01,190.0,las_armas
2014-04-01,133.5,las_armas
2014-05-01,88.0,las_armas
2014-06-01,44.75,las_armas
2014-07-01,76.25,las_armas
2014-08-01,116.75,las_armas
2014-09-01,93.25,las_armas
2014-10-01,153.25,las_armas
2014-11-01,69.25,las_armas
2014-12-01,45.75,las_armas
2015-01-01,76.0,las_armas
2015-02-01,73.5,las_armas
2015-03-01,11.5,las_armas
2015-04-01,98.25,las_armas
2015-05-01,36.0,las_armas
2015-06-01,7.25,las_armas
2015-07-01,74.75,las_armas
2015-08-01,10.0,las_armas
2015-09-01,0.25,las_armas
2015-10-01,1.5,las_armas
2015-11-01,0.25,las_armas
2015-12-01,0.0,las_armas
2016-01-01,5.75,las_armas
2016-02-01,189.0,las_armas
2016-03-01,66.0,las_armas
2016-04-01,107.0,las_armas
2016-05-01,10.0,las_armas
2016-08-01,11.25,las_armas
2016-09-01,15.5,las_armas
2016-10-01,14.0,las_armas
2016-11-01,2.25,las_armas
2016-12-01,4.0,las_armas
2017-10-01,45.75,las_armas
2017-11-01,74.75,las_armas
2017-12-01,67.75,las_armas
2018-01-01,89.0,las_armas
2018-02-01,50.75,las_armas
2018-03-01,96.5,las_armas
2018-04-01,123.75,las_armas
2018-05-01,74.75,las_armas
2018-06-01,33.5,las_armas
2018-07-01,36.25,las_armas
2018-08-01,51.25,las_armas
2018-09-01,36.75,las_armas
2018-10-01,2.75,las_armas
2019-09-01,0.5,las_armas
2020-03-01,49.25,las_armas
2020-04-01,118.75,las_armas
2020-05-01,24.25,las_armas
2020-06-01,49.5,las_armas
2020-07-01,0.75,las_armas
2020-08-01,33.0,las_armas
2020-09-01,25.0,las_armas
2020-10-01,123.75,las_armas
2020-11-01,35.25,las_armas
2020-12-01,18.5,las_armas
2021-01-01,157.0,las_armas
2021-02-01,63.25,las_armas
2021-03-01,136.25,las_armas
2021-09-01,123.0,las_armas
2021-10-01,5.0,las_armas
2021-11-01,33.25,las_armas
2021-12-01,54.0,las_armas
2022-01-01,88.75,las_armas
2022-02-01,52.0,las_armas
2022-03-01,114.0,las_armas
2022-04-01,27.25,las_armas
2022-08-01,44.25,las_armas
2022-09-01,11.0,las_armas
2022-10-01,50.0,las_armas
2023-04-01,40.5,las_armas
2023-11-01,170.0,las_armas
2023-12-01,262.5,las_armas
2024-01-01,139.25,las_armas
2024-02-01,227.0,las_armas
2024-03-01,133.25,las_armas
2024-04-01,110.25,las_armas
2024-05-01,6.25,las_armas
2024-06-01,15.25,las_armas
2024-07-01,20.5,las_armas
2024-08-01,114.5,las_armas
2024-09-01,11.25,las_armas
2024-10-01,31.75,las_armas
2024-11-01,175.25,las_armas
2024-12-01,91.75,las_armas
2025-01-01,51.25,las_armas
2025-02-01,84.5,las_armas
2025-03-01,164.25,las_armas
2025-04-01,51.75,las_armas
2025-05-01,86.25,las_armas
2025-06-01,32.25,las_armas
2010-09-01,107.199974,lima
2010-10-01,48.499992,lima
2010-11-01,52.2,lima
2010-12-01,52.79999,lima
2011-01-01,114.2,lima
2011-02-01,54.09998,lima
2011-03-01,55.2,lima
2011-04-01,136.09999,lima
2011-05-01,37.5,lima
2011-06-01,90.89998,lima
2011-07-01,44.999992,lima
2011-08-01,4.7999997,lima
2011-09-01,0.0,lima
2011-10-01,85.29999,lima
2011-11-01,83.399994,lima
2011-12-01,62.5,lima
2012-01-01,34.8,lima
2012-02-01,168.29999,lima
2012-03-01,174.10004,lima
2012-04-01,65.049995,lima
2012-05-01,42.25,lima
2012-06-01,6.75,lima
2012-07-01,21.5,lima
2012-08-01,233.25,lima
2012-09-01,112.75,lima
2012-10-01,281.0,lima
2012-11-01,62.25,lima
2012-12-01,204.25,lima
2013-01-01,51.75,lima
2013-02-01,99.5,lima
2013-03-01,66.75,lima
2013-04-01,81.75,lima
2013-05-01,73.25,lima
2013-06-01,6.75,lima
2013-07-01,51.75,lima
2013-08-01,5.75,lima
2013-09-01,102.75,lima
2013-10-01,37.25,lima
2013-11-01,86.25,lima
2014-02-01,260.75,lima
2014-03-01,119.5,lima
2014-04-01,44.5,lima
2014-08-01,4.0,lima
2014-09-01,104.25,lima
2014-10-01,170.5,lima
2014-11-01,173.0,lima
2014-12-01,105.0,lima
2015-01-01,192.25,lima
2015-02-01,98.75,lima
2015-03-01,38.25,lima
2015-04-01,109.75,lima
2015-05-01,68.25,lima
2015-06-01,52.25,lima
2015-07-01,56.75,lima
2015-08-01,338.0,lima
2015-09-01,68.0,lima
2015-10-01,111.0,lima
2015-11-01,133.75,lima
2015-12-01,22.25,lima
2016-01-01,9.25,lima
2016-02-01,47.75,lima
2016-03-01,6.75,lima
2016-12-01,177.25,lima
2017-01-01,112.0,lima
2017-02-01,103.5,lima
2017-03-01,124.75,lima
2017-09-01,153.0,lima
2017-10-01,45.4,lima
2017-11-01,40.4,lima
2017-12-01,92.59999,lima
2018-01-01,44.6,lima
2018-02-01,39.0,lima
2018-03-01,63.40001,lima
2018-04-01,197.20001,lima
2018-05-01,91.40001,lima
2018-06-01,5.3999996,lima
2018-07-01,33.800003,lima
2018-08-01,32.0,lima
2018-09-01,104.399994,lima
2018-10-01,53.599995,lima
2018-11-01,130.00002,lima
2019-02-01,155.00003,lima
2019-03-01,64.6,lima
2019-04-01,20.199997,lima
2019-05-01,48.200005,lima
2019-06-01,98.000015,lima
2019-07-01,20.400002,lima
2019-08-01,12.8,lima
2019-09-01,28.2,lima
2019-10-01,52.399994,lima
2019-11-01,99.6,lima
2019-12-01,95.40001,lima
2021-07-01,45.399998,lima
2021-08-01,24.6,lima
2021-09-01,97.59999,lima
1984-01-01,196.5,lp_aero
1984-02-01,259.6,lp_aero
1984-03-01,124.7,lp_aero
1984-04-01,50.8,lp_aero
1984-05-01,85.0,lp_aero
1984-06-01,46.5,lp_aero
1984-07-01,43.300003,lp_aero
1984-08-01,18.0,lp_aero
1984-09-01,47.2,lp_aero
1984-10-01,244.5,lp_aero
1984-11-01,53.6,lp_aero
1984-12-01,44.0,lp_aero
1985-01-01,36.3,lp_aero
1985-02-01,24.3,lp_aero
1985-03-01,134.0,lp_aero
1985-04-01,59.5,lp_aero
1985-05-01,245.8,lp_aero
1985-06-01,20.6,lp_aero
1985-07-01,68.0,lp_aero
1985-08-01,24.2,lp_aero
1985-09-01,94.200005,lp_aero
1985-10-01,246.9,lp_aero
1985-11-01,234.79999,lp_aero
